"Index", "Count", "Origin Account", "Destination Account", "Date", "Original Amount", "Origin Currency", "Converted Amount", "Destination Currency"
"1", "1", "00001-001-AZ-99999", "00551-551-EV-99449", "2/28/12", "2.00", "EUR", "8.52", "USD"
"2", "2", "00001-001-AZ-99999", "00551-551-EV-99449", "8/17/12", "54846.09", "EUR", "228669.80", "USD"
"3", "3", "00001-001-AZ-99999", "00551-551-EV-99449", "3/20/12", "1132.20", "EUR", "4740.18", "USD"
"4", "4", "00002-002-BY-99998", "00551-551-EV-99449", "10/6/12", "1575.00", "EUR", "6546.96", "USD"
"5", "5", "00001-001-AZ-99999", "00551-551-EV-99449", "3/25/12", "1322.00", "EUR", "5508.77", "USD"
"6", "6", "00003-003-CX-99997", "00551-551-EV-99449", "10/30/11", "3215.60", "EUR", "14151.21", "USD"
"7", "7", "00004-004-DW-99996", "00551-551-EV-99449", "9/10/10", "7540.71", "EUR", "30054.25", "USD"
"8", "8", "00004-004-DW-99996", "00551-551-EV-99449", "10/18/10", "9908.02", "EUR", "38990.04", "USD"
"9", "9", "00004-004-DW-99996", "00551-551-EV-99449", "10/30/10", "127114.78", "EUR", "502205.07", "USD"
"10", "10", "00004-004-DW-99996", "00551-551-EV-99449", "11/7/10", "45302.50", "EUR", "178981.12", "USD"
"11", "11", "00004-004-DW-99996", "00551-551-EV-99449", "11/20/10", "205123.09", "EUR", "807487.56", "USD"
"12", "12", "00004-004-DW-99996", "00551-551-EV-99449", "12/4/10", "1992.50", "EUR", "7826.34", "USD"
"13", "13", "00004-004-DW-99996", "00551-551-EV-99449", "12/12/10", "6108.55", "EUR", "23888.10", "USD"
"14", "14", "00004-004-DW-99996", "00551-551-EV-99449", "1/2/11", "210920.10", "EUR", "845937.25", "USD"
"15", "15", "00004-004-DW-99996", "00551-551-EV-99449", "2/5/11", "209459.66", "EUR", "817374.43", "USD"
"16", "16", "00004-004-DW-99996", "00551-551-EV-99449", "2/20/11", "161390.00", "EUR", "624240.38", "USD"
"17", "17", "00004-004-DW-99996", "00551-551-EV-99449", "2/27/11", "145209.26", "EUR", "564312.23", "USD"
"18", "18", "00004-004-DW-99996", "00551-551-EV-99449", "4/11/11", "30609.97", "EUR", "121821.56", "USD"
"19", "19", "00004-004-DW-99996", "00551-551-EV-99449", "5/27/11", "195969.51", "EUR", "770395.34", "USD"
"20", "20", "00004-004-DW-99996", "00551-551-EV-99449", "6/17/11", "390.00", "EUR", "1527.86", "USD"
"21", "21", "00004-004-DW-99996", "00551-551-EV-99449", "6/25/11", "21135.54", "EUR", "83379.71", "USD"
"22", "22", "00004-004-DW-99996", "00551-551-EV-99449", "7/15/11", "176561.79", "EUR", "695988.92", "USD"
"23", "23", "00004-004-DW-99996", "00551-551-EV-99449", "8/13/11", "174351.20", "EUR", "696620.22", "USD"
